Alabama,AL,4%
Alaska,AK, No Sales Tax
Arizona,AZ,5.6%
Arkansas,AR,6.5%
California,CA,7.5%
Colorado,CO,2.9%
Connecticut,CT,6.35%
Delaware,DE, No Sales Tax
District of Columbia,DC,5.75%
Florida,FL,6%
Georgia,GA,4%
Hawaii,HI,4%
Idaho,ID,6%
Illinois,IL,6.25%
Indiana,IN,7%
Iowa,IA,6%
Kansas,KS,6.5%
Kentucky,KY,6%
Louisiana,LA,4%
Maine,ME,5.5%
Maryland,MD,6%
Massachusetts,MA,6.25%
Michigan,MI,6%
Minnesota,MN,6.88%
Mississippi,MS,7%
Missouri,MO,4.23%
Montana,MT, No Sales Tax
Nebraska,NE,5.5%
Nevada,NV,6.85%
New Hampshire,NH, No Sales Tax
New Jersey,NJ,7%
New Mexico,NM,5.13%
New York,NY,4%
North Carolina,NC,4.75%
North Dakota,ND,5%
Ohio,OH,5.75%
Oklahoma,OK,4.5%
Oregon,OR, No Sales Tax
Pennsylvania,PA,6%
Rhode Island,RI,7%
South Carolina,SC,6%
South Dakota,SD,4%
Tennessee,TN,7%
Texas,TX,6.25%
Utah,UT,5.95%
Vermont,VT,6%
Virginia,VA,5.3%
Washington,WA,6.5%
West Virginia,WV,6%
Wisconsin,WI,5%
Wyoming,WY,4%
